hardware,gamma,tokens_per_second,acceptance_rate_percent
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",1,28.9281,100.0000
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",2,71.6906,95.2381
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",3,65.2230,74.0741
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",4,55.5177,56.9444
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",5,49.5155,51.7647
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",6,48.3789,48.8889
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",7,53.1538,50.0000
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",8,43.2536,39.4231
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",9,50.9220,50.0000
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",10,38.0636,34.1667
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",11,33.3704,28.6713
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",12,51.4579,48.9583
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",13,32.3155,26.2821
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",14,32.6377,31.8182
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",15,25.9326,22.0513
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",16,22.8595,20.5357
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",17,25.0577,19.6078
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",18,26.1495,20.2020
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",19,19.4837,19.1729
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",20,32.2851,26.2500
