hardware,gamma,tokens_per_second,acceptance_rate_percent
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",1,30.1529,100.0000
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",2,63.7405,89.1304
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",3,62.8359,77.7778
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",4,53.6481,56.9444
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",5,64.6450,64.6154
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",6,68.1843,60.6061
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",7,67.4779,58.5714
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",8,50.7328,41.6667
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",9,69.4758,58.3333
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",10,42.2133,35.8333
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",11,48.8598,40.4040
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",12,31.2683,28.8462
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",13,27.2084,25.2747
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",14,39.4355,32.5397
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",15,41.2696,34.1667
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",16,24.1708,19.2308
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",17,49.2428,39.2157
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",18,28.1023,25.0000
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",19,21.2889,16.1943
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",20,21.4822,16.6667
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",21,27.3924,21.1640
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",22,33.1817,33.1169
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",23,18.9558,16.6667
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",24,24.3701,19.9074
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",25,19.3262,14.9091
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",26,20.4592,16.9231
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",27,17.6877,14.8148
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",28,18.1160,14.6429
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",29,11.0506,9.0517
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",30,16.1104,13.6364
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",31,13.3735,9.9256
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",32,24.1573,18.3036
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",33,12.6336,9.3240
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",34,13.3056,10.7843
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",35,14.0609,11.1688
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",36,10.8408,8.3333
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",37,12.2195,9.9099
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",38,10.9817,8.2996
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",39,11.7392,9.6154
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",40,9.7677,8.0357
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",41,12.1274,9.0909
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",42,10.8956,9.1270
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",43,12.7796,10.2326
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",44,13.8786,10.8586
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",45,9.3976,7.0085
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",46,11.9653,8.9130
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",47,9.0582,7.2013
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",48,14.3832,12.7604
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",49,8.6532,6.7504
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",50,10.0179,12.7273
