hardware,gamma,tokens_per_second,acceptance_rate_percent
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",1,28.5650,100.0000
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",2,68.3315,86.9565
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",3,77.5151,87.5000
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",4,64.0926,65.6250
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",5,62.9103,58.5714
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",6,69.1786,63.6364
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",7,68.4394,60.0000
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",8,67.3825,62.5000
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",9,27.8726,24.5614
"NVIDIA GeForce RTX 4090 (23.5 GB VRAM)",10,48.4383,40.0000
